Community Area Name,Community Area Number,Property Type,Property Name,Address,Zip Code,Phone Number,Management Company,Units,X Coordinate,Y Coordinate,Latitude,Longitude,Location
Austin,25,Multifamily,Rebecca Walker Complex,5565-71 W. Quincy Ave.,60644,773-261-1550,Affordable Property Management Specialist,12,1139234.679867539,1898405.584397663,41.8773374951,-87.7642368505,"(41.8773374951, -87.7642368505)"
Austin,25,Multifamily,Congress Commons LLC,504 S. Laramie Ave.,60644,773-287-1592,Congress Commons LLC,161,1141766.8175998074,1897120.6862710943,41.873765121,-87.7549712034,"(41.873765121, -87.7549712034)"
Austin,25,Senior HUD 202,Enola A. Dew Senior Apts.,4623 W. Gladys Ave.,60644,773-287-2972,"Prairie Management & Development, Inc.",60,1145481.1114175122,1897910.062111502,41.8758617765,-87.7413139552,"(41.8758617765, -87.7413139552)"
Austin,25,Senior HUD 202,Elois McCoy Village Apts.,4650 W. Van Buren St.,60644,773-626-5320,"Prairie Management & Development, Inc.",60,1145250.3076783537,1897655.194765888,41.875166755,-87.7421678378,"(41.875166755, -87.7421678378)"
Austin,25,Supportive/Teenage Moms,Home for New Moms,5327 W. Chicago Ave.,60651,773-610-7696,"New Moms, Inc.",40,1140544.651551851,1904774.7812520766,41.8947914314,-87.7592704828,"(41.8947914314, -87.7592704828)"
Avalon Park,45,Senior,Montclare Senior Residences of Avalon Park,1200 E. 78th St.,60619,773-933-9000,Montclare Senior Residences,102,1185587.7421578558,1853564.4589579385,41.7533208609,-87.5954564009,"(41.7533208609, -87.5954564009)"
Avondale,21,Supportive Housing,Milwaukee Ave. Apts.,3060 N. Milwaukee Ave.,60618,312-967-3700,Full Circle Management,32,1151100.7815631295,1920108.203467545,41.9366673862,-87.7200977199,"(41.9366673862, -87.7200977199)"
Belmont Cragin,19,ARO,2917-39 N. Central,2917-39 N. Central Ave.,60634,708-867-3799,Zitella Development,3,1138569.742443388,1918921.6328086043,41.9336480472,-87.7661803002,"(41.9336480472, -87.7661803002)"
Belmont Cragin,19,Senior,Senior Suites of Belmont-Cragin,6045 W. Grand Ave.,60639,773-237-1333,Senior Lifestyle Corp.,86,1135526.173557574,1914216.3828398387,41.9207910105,-87.7774775508,"(41.9207910105, -87.7774775508)"
Belmont Cragin,19,Senior,Senior Suites of Kelvyn Park,2715 N. Cicero Ave.,60639,773-252-0333,Senior Lifestyle Corp.,85,1143963.794996609,1917674.6468974263,41.9301265688,-87.7463885389,"(41.9301265688, -87.7463885389)"
Belmont Cragin,19,Senior,Crystal Courts/Anixter Center,5038 W. Armitage Ave.,60639,773-385-9080,Lester and Rosalie Anixter Center,17,1142340.781111415,1912865.6593521584,41.916960542,-87.7524724894,"(41.916960542, -87.7524724894)"
Belmont Cragin,19,Senior,Cicero & George Elderly Apts.,4800 W. George St.,60641,312-291-5420,Hispanic Housing Dev. Corp.,70,1143845.624198203,1918889.6705581376,41.9334629306,-87.7467922468,"(41.9334629306, -87.7467922468)"
Bridgeport,60,Senior,Senior Suites of Bridgeport,2825 S. Halsted St.,60608,312-326-0333,Senior Lifestyle Corp.,85,1171468.4089095024,1886029.5277608237,41.8427291512,-87.6462472701,"(41.8427291512, -87.6462472701)"
Brighton Park,58,Multifamily,El Zócalo,3246 W. 47th St.,60632,312-870-4747,H&J Real Estate Management,30,1155315.538183843,1873325.098236329,41.8082058904,-87.7058647387,"(41.8082058904, -87.7058647387)"
Chatham,44,Supportive Housing,Karibuni Place,8200 S. Ellis Ave.,60619,773-873-0708,Heartland Housing,72,1184284.1534667031,1850796.8943722805,41.7457569581,-87.6003199107,"(41.7457569581, -87.6003199107)"
Chatham,44,Senior,Senior Suites of Chatham,8300 S. Cottage Grove Ave.,60619,773-488-1333,Senior Lifestyle Corp.,90,1182964.715820796,1850099.4442601332,41.743873821,-87.6051761606,"(41.743873821, -87.6051761606)"
Chicago Lawn,66,Senior,Lawn Terrace Apts.,3214 W. 63rd Pl,60629,773-925-2815,Greater Southwest Dev. Corp.,102,1155938.0920476676,1862375.0314674582,41.7781448626,-87.7038754099,"(41.7781448626, -87.7038754099)"
Chicago Lawn,66,Senior,Senior Suites of Marquette Village,7430 S. Rockwell St.,60629,773-432-8420,Senior Lifestyle Corp.,93,1160293.921943526,1855122.4462694346,41.7581541131,-87.6881061075,"(41.7581541131, -87.6881061075)"
Chicago Lawn,66,Senior,Churchview Manor Independent Living,2626 W. 63rd St.,60629,773-925-0730,Greater Southwest Dev. Corp.,60,1159807.027511733,1862817.6897337392,41.7792809902,-87.6896794864,"(41.7792809902, -87.6896794864)"
Chicago Lawn,66,Senior,Churchview Supportive Assisted Living,2626 W. 63rd St.,60629,773-471-4444,Greater Southwest Dev. Corp.,86,1159807.027511733,1862817.6897337392,41.7792809902,-87.6896794864,"(41.7792809902, -87.6896794864)"
Douglas,35,Multifamily,Park Boulevard IA,3845 S. State St.,60609,773-548-8792,"Urban Property Advisors, LLC",80,1176967.1197216897,1879322.1676457142,41.8242011421,-87.6262712265,"(41.8242011421, -87.6262712265)"
Douglas,35,Multifamily,Park Boulevard IIA,17 W. 36th St.,60609,773-548-8792,"Urban Property Advisors, LLC",36,1176708.7667284424,1881091.478702779,41.8290621083,-87.6271656778,"(41.8290621083, -87.6271656778)"
Douglas,35,Multifamily,Park Boulevard IIA,3604 S. State St.,60609,773-548-8792,"Urban Property Advisors, LLC",6,1176845.9146180158,1881076.3818232405,41.8290175865,-87.6266629487,"(41.8290175865, -87.6266629487)"
Douglas,35,Multifamily,Park Boulevard IIA,3612 S. State St.,60609,773-548-8792,"Urban Property Advisors, LLC",6,1176848.8921292,1880973.883357372,41.8287362552,-87.6266551179,"(41.8287362552, -87.6266551179)"
Douglas,35,Multifamily,Park Boulevard IIA,3640 S. State St.,60609,773-548-8792,"Urban Property Advisors, LLC",80,1176856.6105213976,1880678.421982759,41.8279253109,-87.6266357171,"(41.8279253109, -87.6266357171)"
Douglas,35,Multifamily,Park Boulevard IB,3506 S. State St.,60609,773-548-8792,"Urban Property Advisors, LLC",54,1176805.9513533777,1881719.1078143609,41.8307821806,-87.6267901762,"(41.8307821806, -87.6267901762)"
Douglas,35,Multifamily,Park Boulevard IIB,3633 S. State St.,60609,773-548-8792,"Urban Property Advisors, LLC",12,1176929.887869035,1880943.1855750282,41.8286501893,-87.6263588794,"(41.8286501893, -87.6263588794)"
Douglas,35,Multifamily,Park Boulevard IIB,10 W. 37th St.,60609,773-548-8792,"Urban Property Advisors, LLC",12,1176772.4896549408,1880503.0136948659,41.8274458746,-87.6269496359,"(41.8274458746, -87.6269496359)"
Douglas,35,Mutifamily,Park Boulevard IIB,15 W. 37th St.,60609,773-548-8792,"Urban Property Advisors, LLC",12,1176697.6800408491,1880416.0485266007,41.8272089226,-87.6272267219,"(41.8272089226, -87.6272267219)"
Douglas,35,Multifamily,Park Boulevard IIB,3700 S. Dearborn St.,60609,773-548-8792,"Urban Property Advisors, LLC",72,1176529.6000626055,1880409.3094170648,41.8271942191,-87.6278435793,"(41.8271942191, -87.6278435793)"
Douglas,35,Multifamily,South Park Plaza,2600 S. King Dr.,60616,312-674-9210,Woodlawn Comm. Dev. Corp.,134,1179206.472330668,1887158.1958682442,41.8456529118,-87.617816391,"(41.8456529118, -87.617816391)"
Douglas,35,Senior,Pioneer Gardens Supportive Living,3800 S. King Dr.,60653,773-420-4100,Pioneer Gardens Senior Housing,120,1179441.3581913854,1879836.3986584914,41.8255559976,-87.6171784181,"(41.8255559976, -87.6171784181)"
Douglas,35,Senior,Pioneer Village Apts.,340 E. 38th St.,60653,773-536-0463,Pioneer Affordable Housing Preservation,152,1179348.3600891535,1879907.4959198073,41.8257532207,-87.6175174282,"(41.8257532207, -87.6175174282)"
Douglas,35,ARO,Unity Hall,3138-40 S. Indiana Ave.,60616,312-929-2608,TRB properties,2,1178081.3036449256,1884060.02112515,41.8371769457,-87.6220397684,"(41.8371769457, -87.6220397684)"
Dunning,17,Senior,Autumn Green at Wright Campus,4239 N. Oak Park Ave.,60634,773-202-3388,Senior Lifestyle Corp.,129,1129981.0183291987,1927628.4836435749,41.9576922115,-87.7975440334,"(41.9576922115, -87.7975440334)"
East Garfield Park,27,Multifamily,Ike Sims Village,3333 W. Maypole Ave.,60624,773-638-1818,Village Green Management Co.,200,1153978.228846477,1900741.035115148,41.8834651917,-87.7100399091,"(41.8834651917, -87.7100399091)"
East Garfield Park,27,Multifamily/Artists,Switching Station Lofts,15 S. Homan Ave.,60624,312-859-0577,Holsten Management Corp.,24,1153767.678032582,1899627.5293921034,41.8804138115,-87.7108427298,"(41.8804138115, -87.7108427298)"
East Garfield Park,27,Senior,Heritage Woods of Chicago,2800 W. Fulton St.,60612,773-722-2900,BMA Management Ltd.,113,1157640.848234929,1901927.1547658308,41.8866462303,-87.696558136,"(41.8866462303, -87.696558136)"
East Garfield Park,27,Multifamily,Homan Square Apartments Phase I,750 S. Homan Ave.,60624,773-722-7320,Realty & Mortgage Co.,50,1153790.484760921,1896268.990949446,41.8711971734,-87.7108484249,"(41.8711971734, -87.7108484249)"
East Garfield Park,27,Multifamily,Homan Square Apartments Phase IV,908 S. Central Park Ave.,60624,773-722-7320,Realty & Mortgage Co.,108,1152480.6098086971,1895702.7375189476,41.8696692769,-87.7156724506,"(41.8696692769, -87.7156724506)"
East Garfield Park,27,Multifamily,Homan Square Apartments Phase V,3607 W. Polk St.,60624,773-722-7320,Realty & Mortgage Co.,42,1152413.6927732248,1896087.1805657751,41.8707255523,-87.7159079717,"(41.8707255523, -87.7159079717)"
East Garfield Park,27,Multifamily,Homan Square Apartments Phase VI,3609 W. Arthington St.,60624,773-722-7320,Realty & Mortgage Co.,52,1152417.178059103,1895758.8687434797,41.8698245594,-87.7159038458,"(41.8698245594, -87.7159038458)"
East Garfield Park,27,Supportive Housing,Deborah's Place III,2822 W. Jackson Blvd.,60612,773-638-6490,Deborah's Place,90,1157527.9754137222,1898606.336367213,41.8775358858,-87.6970630483,"(41.8775358858, -87.6970630483)"
East Garfield Park,27,Supportive Housing,East Park Apts.,3300 W. Maypole Ave.,60624,773-826-3300,The Habitat Co.,152,1154287.3392122313,1900828.1298343563,41.8836980221,-87.7089025002,"(41.8836980221, -87.7089025002)"
East Garfield Park,27,Multifamily,Liberty Square Apts.,705-23 S. Independence Ave.,60624,773-538-3800,Bonheur Realty Services Corp.,66,1151407.4614220564,1896705.2397940052,41.8724413776,-87.7195859945,"(41.8724413776, -87.7195859945)"
East Garfiled Park,27,Multifamily,Harvest Homes,3512-46 W. Fifth Ave.,60624,312-216-5103,Realty & Mortgage Co.,36,1153024.1615963918,1898153.8420489626,41.8763846236,-87.7136119356,"(41.8763846236, -87.7136119356)"
Edgewater,77,Multifamily,Winthrop Apts.,6214 N. Winthrop Ave.,60660,773-477-7070,Hunter Properties,108,1167688.7086010627,1941496.3681431552,41.9950154576,-87.6585160357,"(41.9950154576, -87.6585160357)"
Edgewater,77,Senior,Hollywood House Apts.,5700 N. Sheridan Road,60660,773-728-2600,Heartland Housing,93,1168565.9159576842,1938087.0102101795,41.9856410954,-87.6553885441,"(41.9856410954, -87.6553885441)"
Edgewater,77,Senior,Pomeroy Apts.,5650 N. Kenmore Ave.,60660,773-275-7820,Habitat Company,198,1168181.1238168452,1937918.400495236,41.9851867755,-87.656808677,"(41.9851867755, -87.656808677)"
Edgewater,77,Multifamily,Bell Shore Apts.,1062 W. Bryn Mawr Ave.,60660,773-334-5407,Holsten Management Corp.,105,1167941.8132828113,1937401.2566281443,41.9837729037,-87.6577038394,"(41.9837729037, -87.6577038394)"
Englewood,68,Senior,Yale Building,6565 S. Yale Ave.,60621,773-224-7669,Yale Building LLP,140,1175681.0917438765,1861260.6910332246,41.7746676247,-87.6315301982,"(41.7746676247, -87.6315301982)"
Englewood,68,Multifamily,Antioch Homes II,301 W. Marquette Road,60621,773-994-4546,"Universal Management Service, Inc.",69,1175444.812850503,1860492.0838049254,41.7725637689,-87.6324193182,"(41.7725637689, -87.6324193182)"
Englewood,68,People with Disabilities,Victoria Jennings Residences,624 W. 61st St.,60621,773-994-3690,"HSR Property Services, LLC",57,1173046.574629759,1864479.4697238435,41.7835589092,-87.6410928975,"(41.7835589092, -87.6410928975)"
Englewood,68,Supportive Housing,Rowan Trees Apts.,500 W. Englewood Ave.,60621,773-572-5272,The Thresholds,167,1174002.159513655,1863521.643252472,41.7809093636,-87.637617817,"(41.7809093636, -87.637617817)"
Englewood,68,Supportive Housing,Englewood Apts.,901 W. 63rd Street,60621,773-994-3199,Mercy Housing,45,1171373.6614958383,1863023.3677886287,41.7795999913,-87.6472689598,"(41.7795999913, -87.6472689598)"
Englewood,68,Supportive Housing,Branch of Hope Apts.,5628-30 S. Halsted St.,60621,773-488-7205,Evergreen Real Estate LLC,99,1171893.838747747,1867410.6620249962,41.7916278176,-87.6452332087,"(41.7916278176, -87.6452332087)"
Englewood,68,Supportive/Veterans,Hope Manor II Apts.,6002 S. Halsted St.,60621,773-874-3610,Voluinteers of America Illinois,73,1171959.5651457831,1864993.894313844,41.7849944939,-87.6450631449,"(41.7849944939, -87.6450631449)"
Englewood,68,Senior,Sangamon Terrace,6415 S. Sangamon St.,60621,312-234-9400,Evergreen Real Estate Services,34,1171120.2883740384,1862217.2054180412,41.7773933302,-87.6482214016,"(41.7773933302, -87.6482214016)"
Fuller Park,37,Senior,Fellowship Manor,5041 S. Princeton Ave.,60609,773-924-5980,"East Lake Management Group, Inc.",100,1175183.4790044015,1871367.582271373,41.8024131184,-87.6330525826,"(41.8024131184, -87.6330525826)"
Gage Park,63,Senior,Senior Suites of Gage Park,3244 W. 59th St.,60629,773-434-4333,Senior Lifestyle Corp.,59,1155572.425115435,1865354.4067786196,41.786328045,-87.705136175,"(41.786328045, -87.705136175)"
Garfield Ridge,56,Senior,Senior Suites of Garfield Ridge,5839 S. Harlem Ave.,60638,773-229-1533,Senior Lifestyle Corp.,87,1129403.7448869708,1864822.9118978602,41.7853541249,-87.8010979955,"(41.7853541249, -87.8010979955)"
Garfield Ridge,56,Senior,Midway Pointe Senior Living,5011 W. 47th St.,60638,872-302-4010,Perlmark Realty Management LLC,85,1143675.612651464,1872964.3620531529,41.8074412435,-87.748566779,"(41.8074412435, -87.748566779)"
Grand Boulevard,38,Multifamily,Progressive Square,4752 S. Wabash Ave.,60614,773-975-7234,CMHDC/Progressive NFP/Kass Management,107,1177483.2463556484,1873312.722072644,41.8076990345,-87.6245595889,"(41.8076990345, -87.6245595889)"
Grand Boulevard,38,Senior,Park Boulevard Tower/Grand Renaissance Apts.,4257 S. King Dr.,60653,773-268-4642,"East Lake Management Group, Inc.",24,1179612.435611574,1876628.6050863636,41.8167496439,-87.6166489475,"(41.8167496439, -87.6166489475)"
Grand Boulevard,38,Multifamily,Geneva Gables,4420-24 S. Michigan Ave.,60653,773-924-7700,Tri-Mart Management Co.,65,1177858.6856956813,1875634.1971797955,41.8140608614,-87.6231122243,"(41.8140608614, -87.6231122243)"
Grand Boulevard,38,Multifamily,Paul G. Stewart Phase III Tower,401 E. Bowen Ave.,60653,312-924-2100,Paul G. Stewart Assoc.,180,1179658.6473742288,1877532.3419499588,41.8192285127,-87.6164517753,"(41.8192285127, -87.6164517753)"
Grand Boulevard,38,Multifamily,Paul G. Stewart Phase V,400 E. 41st St.,60653,773-924-2100,Paul G. Stewart Assoc.,20,1179638.2483418202,1877940.683099849,41.8203495003,-87.6165141095,"(41.8203495003, -87.6165141095)"
Grand Boulevard,38,Supportive Housing,Washington Park SRO,5000 S. Indiana Ave.,60615,773-924-1107,"East Lake Management Group, Inc.",96,1178406.436772831,1871882.895572396,41.8037545212,-87.6212170565,"(41.8037545212, -87.6212170565)"
Grand Boulevard,38,Senior HUD 202,Margaret Ford Manor Independent Living,4500 S. Wabash Ave.,60653,773-924-9171,"HSR Property Services, LLC",63,1177427.156074382,1875236.6231905173,41.8129796596,-87.6247071273,"(41.8129796596, -87.6247071273)"
Grand Boulevard,38,Multifamily,Legends South - Hansberry Square,4034 S. State St.,60609,773-548-8800,Interstate Realty Management Co.,181,1176907.6358102283,1878122.6231740906,41.8209108342,-87.6265256539,"(41.8209108342, -87.6265256539)"
Grand Boulevard,38,Multifamily,Legends South - Savoy Square,4448 S. State St.,60609,773-855-2209,Interstate Realty Management Co.,220,1176982.246436822,1875311.406647018,41.8131949278,-87.6263367998,"(41.8131949278, -87.6263367998)"
Grand Boulevard,38,Multifamily,Legends South - Mahalia Place,116 E. 43rd St.,60653,773-285-9500,Interstate Realty Management Co.,110,1178081.8752660828,1876584.156148254,41.816662565,-87.6222647175,"(41.816662565, -87.6222647175)"
Grand Boulevard,38,Multifamily,Legends South - Coleman Place,223 E. 41st St.,60653,773-268-0202,Interstate Realty Management Co.,118,1178573.5197471243,1877831.6285598048,41.820074554,-87.6204232972,"(41.820074554, -87.6204232972)"
Grand Boulevard,38,Multifamily,Legends South - Gwendolyn Place,4333 S. Michigan Ave.,60653,773-624-7676,Interstate Realty Management Co.,71,1177923.9036458873,1876177.552666537,41.8155503961,-87.6228565224,"(41.8155503961, -87.6228565224)"
Grand Boulevard,38,Senior,Bronzeville Senior Apts.,460 E. 41st St.,60653,773-924-2100,Peoples Co-Op Management Service,97,1180219.198851359,1877957.2141656575,41.8203815435,-87.6143824354,"(41.8203815435, -87.6143824354)"
Grand Boulevard,38,Artist Live/Work Space,Bronzeville Artists Lofts,436 E. 47th St.,60653,773-324-1745,Revere Properties,16,1180131.925525073,1873998.5195045283,41.8095205688,-87.614824016,"(41.8095205688, -87.614824016)"
Grand Boulevard,38,Multifamily,Bronzeville Family Apts.,400 E. 41st St.,60653,773-924-2100,Peoples Co-Op Management Service,60,1179638.2483418202,1877940.683099849,41.8203495003,-87.6165141095,"(41.8203495003, -87.6165141095)"
Grand Boulevard,38,Multifamily,Shops & Lofts at 47,747 E. 47th St.,60653,855-618-4959,The Community Builders Inc.,72,1182241.945814585,1873977.256685763,41.8094135532,-87.6070855618,"(41.8094135532, -87.6070855618)"
Grand Boulevard,38,Multifamily,Cornerstone Apts.,4950 S. Langley Ave.,60615,312-577-5555,The Community Builders Inc.,21,1181729.2966575553,1872129.6165571965,41.8043553511,-87.6090229601,"(41.8043553511, -87.6090229601)"
Grand Boulevard,38,Multigfamily,Cornerstone Apts.,731 E. 50th Pl,60615,312-577-5555,The Community Builders Inc.,24,1182124.4353024266,1871654.4162788903,41.803042216,-87.6075885068,"(41.803042216, -87.6075885068)"
Grand Boulevard,38,Multifamily,Cornerstone Apts.,611 E. 50th St.,60615,312-577-5555,The Community Builders Inc.,8,1181237.493213352,1871959.1962304306,41.8038990623,-87.6108319018,"(41.8038990623, -87.6108319018)"
Grand Boulevard,38,Multifamily,Cornerstone Apts.,633 E. 50th St.,60615,312-577-5555,The Community Builders Inc.,7,1181425.624092162,1871964.801214167,41.8039101011,-87.6101417643,"(41.8039101011, -87.6101417643)"
Grand Boulevard,38,Multifamily,Cornerstone Apts.,636 E. 50th St.,60615,312-577-5555,The Community Builders Inc.,5,1181481.5543287941,1872046.5095493707,41.804133024,-87.6099341196,"(41.804133024, -87.6099341196)"
Grand Boulevard,38,Senior,Evans Langley,727 E. 50th Pl,60615,312-368-8610,"Metroplex, Inc.",60,1182079.079586791,1871653.1259029103,41.8030397258,-87.6077548852,"(41.8030397258, -87.6077548852)"
Grand Boulevard,38,Multifamily,Indiana Manor Town Homes,4427-33 S. Indiana Ave.,60653,773-268-5326,Indiana Manor Townhomes,87,1178382.5134062956,1875605.7840145205,41.8139709971,-87.6211916565,"(41.8139709971, -87.6211916565)"
Grand Boulevard,38,Multifamily,Hearts United I-The Langston (scattered sites),722-46 E. Bowen Ave.,60653,773-924-2100,Bonheur Realty Services Corp.,116,1181829.598427389,1877677.359860925,41.8195764741,-87.6084834879,"(41.8195764741, -87.6084834879)"
Grand Boulevard,38,Multifamily,Hearts United II-The Quincy (scattered sites),701-27 E. 43rd St.,60653,773-924-2100,Bonheur Realty Services Corp.,81,1181681.4006680325,1876615.5054965536,41.8166660946,-87.6090599647,"(41.8166660946, -87.6090599647)"
Grand Boulevard,38,Multifamily,Hearts United III-The Leontyne (scattered sites),4340-2 S. Champlain St.,60653,773-924-2100,Bonheur Realty Services Corp.,53,1181273.6563283482,1876588.698283308,41.8166019546,-87.6105564793,"(41.8166019546, -87.6105564793)"
Grand Boulevard,38,Multifamily,Rosenwald Courts Apts.,4642 S. Michigan Ave.,60653,773-819-2267,Mercy Housing,239,1177902.2050109168,1874091.161156775,41.809825649,-87.6229993768,"(41.809825649, -87.6229993768)"
Greater Grand Crossing,69,Multifamily,Englewood Gardens,6956 S. Vincennes Ave.,60621,773-994-4830,"East Lake Management Group, Inc.",24,1176891.268251813,1858664.4336695173,41.7675160252,-87.6271720535,"(41.7675160252, -87.6271720535)"
Greater Grand Crossing,69,Artist Housing,Dorchester Art + Housing Collaborative,1450 E. 70th St.,60619,773-324-2270,Leasing & Management Co. Inc.,32,1187273.420073689,1858913.3379495782,41.7679588345,-87.5891095264,"(41.7679588345, -87.5891095264)"
Hegewisch,55,Senior,Senior Suites of Hegewisch,13550 S. Avenue O,60633,773-646-1333,Senior Lifestyle Corp.,116,1201038.0588749289,1815487.7333030126,41.6484574114,-87.540123166,"(41.6484574114, -87.540123166)"
Humboldt Park,23,Supportive Housing,Sanctuary Place,642 N. Kedzie Ave.,60612,773-265-0983,Interfaith Housing Corp.,84,1154880.6034761437,1904286.6392746218,41.8931766425,-87.7066312185,"(41.8931766425, -87.7066312185)"
Humboldt Park,23,Supportive Housing,Humboldt Park Residences,1152 N. Christiana Ave.,60647,773-276-5338 ext. 225,LUCHA,69,1153731.4411072168,1907707.148117049,41.9025857989,-87.7107605283,"(41.9025857989, -87.7107605283)"
Humboldt Park,23,Multifamily,Bloomingdale Apts.,1745 N. Keystone Ave.,60639,773-276-2965,Village Green Management Co.,48,1149146.6362585528,1911465.9388707278,41.9129903623,-87.7275039055,"(41.9129903623, -87.7275039055)"
Humboldt Park,23,Multifamily,Spaulding Apartments,1750 N. Spaulding Ave.,60647,773-381-7400,G&A Management,111,1153823.719226805,1911621.6283910712,41.9133256466,-87.7103171384,"(41.9133256466, -87.7103171384)"
Humboldt Park,23,Supportive/Males 18-24yrs.,Solid Ground Supportive Housing Program,3507 W. North Ave.,60647,773-276-4900,"La Casa Norte, Inc.",35,1152641.1153722291,1910367.063442813,41.9099064976,-87.7146950394,"(41.9099064976, -87.7146950394)"
Humboldt Park,23,Multifamily,Madres Unidas (scattered sites),3541 W. North Ave.,60647,773-276-5338 ext. 225,LUCHA,80,1152271.5245463105,1910359.2407422592,41.9098923382,-87.7160529794,"(41.9098923382, -87.7160529794)"
Humboldt Park,23,Senior,LUCHA Affordable Units,3541 W. North Ave.,60647,312-276-5338,LUCHA,69,1152271.5245463105,1910359.2407422592,41.9098923382,-87.7160529794,"(41.9098923382, -87.7160529794)"
Humboldt Park,23,Multifamily,La Estancia,3220 W. Division St.,60651,773-227-6332,Bickerdike Apts.,18,1154584.6629430514,1907840.061069645,41.9029334898,-87.7076229238,"(41.9029334898, -87.7076229238)"
Humboldt Park,23,Multifamily,La Estancia,3248 W. Division St.,60651,773-227-6332,Bickerdike Apts.,9,1154314.3195338387,1907834.5260998942,41.902923708,-87.7086160992,"(41.902923708, -87.7086160992)"
Humboldt Park,23,Multifamily,Rosa Parks Apts.,3215 W. Huron St.,60624,773-227-6332,Bickerdike Apts.,6,1154724.0859476165,1904442.8107750104,41.8936083276,-87.7072018666,"(41.8936083276, -87.7072018666)"
Humboldt Park,23,Multifamily,Rosa Parks Apts.,649 N. Sawyer Ave.,60624,773-227-6332,Bickerdike Apts.,6,1154625.79251378,1904362.1017843606,41.8933888222,-87.707565028,"(41.8933888222, -87.707565028)"
